AARDVARK	5
ABACUS	4
ABALONE	7
ABANDON	3
ABANDONER	7
ABANDONMENT	5
ABASE	10
ABASEMENT	10
ABATE	9
ABATEMENT	10
ABATTOIR	10
ABBACY	10
ABBESS	10
ABBEY	8
ABBOT	7
ABBREVIATE	5
ABBREVIATED	6
ABBREVIATION	4
ABDICATE	8
ABDICATION	10
ABDOMEN	4
ABDOMINAL	5
ABDUCT	6
ABDUCTION	7
ABDUCTOR	6
ABEAM	8
ABERRANT	8
ABERRATION	8
ABET	7
ABETTOR	11
ABEYANCE	10
ABHOR	9
ABHORRENT	7
ABIDE	5
ABIDING	5
ABILITY	4
ABJECT	9
ABJURATION	12
ABJURE	10
ABLATION	8
ABLAZE	6
ABLE	3
ABLUTION	9
ABNORMAL	5
ABNORMALITY	7
ABOARD	4
ABODE	7
ABOLISH	5
ABOLITION	8
ABOLITIONISM	7
ABOLITIONIST	8
ABOMINABLE	4
ABOMINATE	10
ABOMINATION	6
ABORIGINAL	10
ABORIGINE	8
ABORNING	8
ABORT	7
ABORTION	8
ABORTIONIST	10
ABORTIVE	9
ABOUND	7
ABOUT	0
ABOVE	0
ABOVEBOARD	8
ABOVEGROUND	3
ABOVEMENTIONED	9
ABRACADABRA	2
ABRADE	9
ABRASION	7
ABRASIVE	7
ABRASIVENESS	7
ABREACTION	11
ABREAST	8
ABRIDGE	9
ABRIDGED	8
ABRIDGEMENT	7
ABROAD	5
ABROGATE	10
ABRUPT	6
ABRUPTION	7
ABRUPTNESS	7
ABSCESS	8
ABSCOND	8
ABSCONDER	12
ABSENCE	3
ABSENT	2
ABSENTEE	6
ABSENTEEISM	8
ABSENTMINDED	6
ABSENTMINDEDNESS	5
ABSINTHE	11
ABSOLUTE	4
ABSOLUTELY	2
ABSOLUTENESS	8
ABSOLUTION	7
ABSOLVE	8
ABSOLVER	9
ABSORB	4
ABSORBENT	5
ABSORBER	5
ABSORPTION	6
ABSTAIN	8
ABSTENTION	10
ABSTINENCE	8
ABSTRACT	6
ABSTRACTION	9
ABSTRACTIONIST	10
ABSTRUSE	10
ABSURD	6
ABSURDIST	8
ABSURDITY	8
ABUNDANCE	5
ABUNDANT	8
ABUSE	4
ABUSER	5
ABUSIVE	5
ABUSIVENESS	5
ABUT	8
ABUTMENT	10
ABUZZ	8
ABYSM	10
ABYSMAL	9
ABYSS	6
ABYSSAL	12
ACACIA	9
ACADEME	8
ACADEMIA	9
ACADEMIC	5
ACADEMICIAN	10
ACADEMICISM	10
ACADEMY	4
ACANTHUS	10
ACCEDE	9
ACCELERANDO	10
ACCELERANT	8
ACCELERATE	6
ACCELERATED	5
ACCELERATION	5
ACCELERATOR	5
ACCENT	4
ACCENTUATE	8
ACCEPT	2
ACCEPTABLE	5
ACCEPTANCE	4
ACCEPTANT	7
ACCESS	4
ACCESSIBILITY	6
ACCESSIBLE	5
ACCESSION	7
ACCESSORIZE	6
ACCESSORY	6
ACCIDENT	0
ACCIDENTAL	2
ACCLAIM	7
ACCLAMATION	9
ACCLIMATE	9
ACCLIMATIZATION	11
ACCLIMATIZE	9
ACCOLADE	7
ACCOMMODATE	5
ACCOMMODATION	5
ACCOMMODATIVE	10
ACCOMPANIMENT	6
ACCOMPANIST	8
ACCOMPANY	6
ACCOMPLICE	5
ACCOMPLISH	3
ACCOMPLISHMENT	4
ACCORD	5
ACCORDANCE	7
ACCORDING	3
ACCORDION	4
ACCOST	8
ACCOUNT	3
ACCOUNTABILITY	7
ACCOUNTABLE	7
ACCOUNTANCY	10
ACCOUNTANT	7
ACCOUNTING	7
ACCOUTREMENT	9
ACCREDITATION	11
ACCREDITED	9
ACCRETE	9
ACCRUAL	10
ACCRUE	9
ACCUMULATE	7
ACCUMULATION	6
ACCUMULATIVE	8
ACCUMULATOR	9
ACCURACY	5
ACCURATE	4
ACCURSED	8
ACCUSATION	5
ACCUSATIVE	8
ACCUSATORY	6
ACCUSE	4
ACCUSER	7
ACCUSTOM	7
ACE	4
ACERB	11
ACERBIC	12
ACERBITY	11
ACETAMINOPHEN	8
ACETATE	8
ACETIC	9
ACETONE	9
ACETYL	11
ACETYLCHOLINE	11
ACETYLENE	12
ACETYLSALICYLIC	12
ACHE	1
ACHIEVABLE	5
ACHIEVE	4
ACHIEVEMENT	4
ACHIEVER	4
ACHINESS	5
ACHY	3
ACID	5
ACIDIC	6
ACIDITY	8
ACIDOPHILUS	12
ACIDOSIS	12
ACIDULOUS	10
ACKNOWLEDGE	4
ACKNOWLEDGEMENT	5
ACME	5
ACNE	6
ACOLYTE	9
ACONITUM	6
ACORN	1
ACOUSTIC	7
ACOUSTICAL	8
ACOUSTICS	6
ACQUAINTANCE	5
ACQUAINTANCESHIP	9
ACQUIESCE	9
ACQUIESCENCE	9
ACQUIESCENT	9
ACQUIRE	5
ACQUIRER	7
ACQUISITION	9
ACQUISITIVE	9
ACQUISITIVENESS	9
ACQUIT	8
ACQUITTAL	7
ACRE	5
ACREAGE	8
ACRID	9
ACRIMONIOUS	11
ACRIMONY	10
ACROBAT	3
ACROBATIC	4
ACROBATICS	4
ACRONYM	7
ACROPHOBIA	9
ACROPOLIS	10
ACROSS	2
ACROSTIC	10
ACRYLIC	7
ACT	1
ACTINIC	11
ACTION	2
ACTIONABLE	8
ACTIVATE	6
ACTIVATION	5
ACTIVATOR	7
ACTIVE	2
ACTIVISM	7
ACTIVIST	7
ACTIVITY	1
ACTOR	2
ACTRESS	1
ACTUAL	2
ACTUALITY	7
ACTUALIZATION	9
ACTUALIZE	9
ACTUALLY	2
ACTUARIAL	11
ACTUARY	12
ACTUATION	10
ACTUATOR	9
ACUITY	9
ACUMEN	9
ACUPRESSURE	9
ACUPUNCTURE	7
ACUPUNCTURIST	10
ACUTE	7
ACUTENESS	8
ACYCLOVIR	8
ADAGE	11
ADAGIO	8
ADAMANT	9
ADAMANTINE	11
ADAPT	4
ADAPTABILITY	7
ADAPTABLE	4
ADAPTATION	6
ADAPTER	7
ADAPTION	7
ADAPTIVE	6
ADAPTOR	5
ADD	0
ADDENDUM	11
ADDER	7
ADDICT	6
ADDICTION	7
ADDICTIVE	5
ADDICTIVENESS	7
ADDITION	1
ADDITIONAL	4
ADDITIVE	7
ADDLE	8
ADDLED	7
ADDRESS	0
ADDRESSEE	5
ADDUCE	8
ADDUCTOR	9
ADENOIDAL	10
ADENOMA	9
ADENOSINE	11
ADEPT	8
ADEPTNESS	9
ADEQUACY	8
ADEQUATE	5
ADHERE	6
ADHERENCE	7
ADHERENT	9
ADHESION	9
ADHESIVE	4
ADIABATIC	12
ADIPOSE	11
ADIPOSITY	11
ADJACENT	6
ADJECTIVE	4
ADJOINING	7
ADJOURN	8
ADJOURNMENT	9
ADJUDGE	10
ADJUDICATE	10
ADJUDICATION	11
ADJUDICATOR	11
ADJUNCT	8
ADJURATION	11
ADJURE	8
ADJUST	3
ADJUSTABILITY	7
ADJUSTABLE	4
ADJUSTER	6
ADJUSTMENT	5
ADJUSTOR	8
ADJUTANT	9
ADJUVANT	9
ADMIN	9
ADMINISTER	4
ADMINISTRATE	8
ADMINISTRATION	6
ADMINISTRATIVE	7
ADMINISTRATOR	7
ADMIRABLE	6
ADMIRAL	4
ADMIRALTY	6
ADMIRATION	4
ADMIRE	2
ADMIRER	4
ADMISSIBILITY	9
ADMISSIBLE	8
ADMISSION	4
ADMIT	3
ADMITTANCE	5
ADMIXTURE	9
ADMONISH	8
ADMONITION	9
ADO	7
ADOBE	7
ADOLESCENCE	5
ADOLESCENT	6
ADOPT	3
ADOPTABLE	4
ADOPTER	5
ADOPTION	3
ADOPTIVE	4
ADORABILITY	7
ADORABLE	2
ADORABLENESS	3
ADORATION	7
ADORE	3
ADORING	4
ADORN	7
ADORNMENT	7
ADRENAL	9
ADRENALIN	7
ADRENALINE	7
ADRIFT	6
ADROIT	8
ADROITNESS	10
ADULATION	8
ADULT	0
ADULTERANT	8
ADULTERATE	9
ADULTERER	7
ADULTERESS	7
ADULTEROUS	7
ADULTERY	7
ADULTHOOD	5
ADUMBRATION	12
ADVANCE	3
ADVANCED	4
ADVANCEMENT	6
ADVANTAGE	4
ADVANTAGEOUS	8
ADVENT	5
ADVENTURE	1
ADVENTURER	3
ADVENTURESOME	5
ADVENTURESS	5
ADVENTURIST	4
ADVENTUROUS	5
ADVENTUROUSNESS	7
ADVERB	3
ADVERBIAL	8
ADVERSARIAL	9
ADVERSARY	8
ADVERSE	6
ADVERSITY	7
ADVERT	9
ADVERTISE	5
ADVERTISEMENT	3
ADVERTISER	6
ADVERTISING	5
ADVICE	4
ADVISABLE	6
ADVISE	4
ADVISEE	8
ADVISEMENT	8
ADVISER	6
ADVISOR	6
ADVISORY	7
ADVOCACY	9
ADVOCATE	6
AEGIS	12
AERATE	8
AERATION	7
AERIAL	7
AERIALIST	9
AERIE	8
AERO	6
AEROBATICS	5
AEROBIC	5
AEROBICS	6
AERODYNAMIC	8
AERODYNAMICS	7
AERONAUT	8
AERONAUTICAL	9
AERONAUTICS	7
AEROSOL	4
AEROSPACE	7
AESTHETE	10
AESTHETIC	11
AESTHETICS	10
AFAR	3
AFEARD	6
AFFABILITY	9
AFFABLE	8
AFFAIR	6
AFFAIRE	6
AFFECT	5
AFFECTATION	9
AFFECTION	4
AFFECTIONATE	4
AFFECTIVE	7
AFFECTLESS	9
AFFIANT	9
AFFIDAVIT	11
AFFILIATE	7
AFFILIATION	7
AFFINITY	7
AFFIRM	7
AFFIRMATION	8
AFFIRMATIVE	6
AFFIX	7
AFFLICT	7
AFFLICTION	6
AFFLICTIVE	9
AFFLUENCE	9
AFFLUENT	8
AFFORD	2
AFFORDABILITY	6
AFFORDABLE	3
AFFRAY	8
AFFRIGHT	8
AFFRONT	7
AFGHAN	4
AFICIONADO	9
AFIRE	7
AFLAME	6
AFLOAT	4
AFOOT	6
AFOREMENTIONED	10
AFORESAID	9
AFORETHOUGHT	9
AFOUL	7
AFRAID	0
AFRO	5
AFT	9
AFTER	1
AFTERBIRTH	9
AFTERBURNER	6
AFTERCARE	7
AFTERDECK	11
AFTEREFFECT	7
AFTERGLOW	8
AFTERIMAGE	9
AFTERLIFE	3
AFTERMARKET	9
AFTERMATH	7
AFTERNOON	0
AFTERSCHOOL	2
AFTERSHAVE	5
AFTERSHOCK	5
AFTERTASTE	5
AFTERTHOUGHT	8
AFTERWARDS	3
AFTERWORLD	5
AGAIN	1
AGAINST	3
AGATE	8
AGAVE	10
AGE	0
AGEISM	12
